PassengerId,FinalPrediction,FinalProbability,SeedVariance,SeedStdDev,SeedAgreement,MinProb,MaxProb,ProbRange
892,0,0.15157596822809416,0.0002510455177972496,0.015844415981576904,1.0,0.12928092533986127,0.18407740797200237,0.0547964826321411
893,0,0.4794699065592072,0.0003711816291918016,0.01926607456623693,0.8,0.44968043121276025,0.5095913334778136,0.059910902265053356
894,0,0.09887141801359689,4.096736389192121e-05,0.006400575278201265,1.0,0.09124719867847796,0.11294556376666731,0.021698365088189356
895,0,0.11874987949478961,1.864765720709367e-05,0.004318293321104261,1.0,0.11229178770316149,0.1266988612948351,0.014407073591673605
896,1,0.7216406177044664,0.0001531609443236394,0.012375820955542278,1.0,0.6966178019031335,0.7413458728505228,0.04472807094738929
897,0,0.04323782602661856,1.4898603379589692e-05,0.0038598709019330804,1.0,0.03694548606993159,0.04978141763107654,0.012835931561144952
898,1,0.6385062516610488,0.0001107787295454923,0.01052514748331311,1.0,0.6165757991984662,0.6511388788049586,0.03456307960649241
899,1,0.9177258575330715,8.215840934971646e-05,0.009064127611067513,1.0,0.9071752876752782,0.9376553502011321,0.03048006252585389
900,1,0.8087373458088102,5.0979378183401344e-05,0.007139984466607847,1.0,0.7949304313754327,0.821207456765972,0.02627702539053922
901,0,0.024674093391865166,4.686223439348691e-06,0.0021647686803325412,1.0,0.02190959953022349,0.028548803497050607,0.006639203966827118
902,0,0.09535234036977298,9.568653126778869e-06,0.0030933239608516385,1.0,0.09011143648321852,0.10195035172750529,0.011838915244286763
903,0,0.19126467324667562,3.3562051589486604e-05,0.005793276412315107,1.0,0.18212996903767395,0.1998240913976658,0.01769412235999185
904,1,0.9424873207858054,1.6271486864443408e-05,0.004033793111259352,1.0,0.9353982119903893,0.9487841071920059,0.013385895201616593
905,0,0.07012595013047636,2.8123398498302504e-05,0.005303149865721551,1.0,0.06366801182140641,0.08396373485847196,0.020295723037065547
906,1,0.906461615143266,4.243927566063309e-05,0.006514543396173909,1.0,0.8927006982290351,0.917710094761167,0.025009396532131967
907,1,0.9125750450340442,2.46088145828376e-05,0.004960727223183875,1.0,0.9036694337264827,0.9208793602900176,0.017209926563534927
908,0,0.15634055502482347,4.882047363308048e-05,0.006987164920987659,1.0,0.14687850397470564,0.17303035592449953,0.026151851949793886
909,0,0.16802083217472705,8.740250273046529e-05,0.00934893056613778,1.0,0.15107708791237132,0.18499789460784535,0.03392080669547404
910,1,0.6089482665524826,0.0003418813310390918,0.018490033289291066,1.0,0.571061136825234,0.6298058545812241,0.058744717755990106
911,1,0.6404773493430123,0.000283992637092148,0.01685208109083706,1.0,0.6157132666903635,0.6687564380508486,0.053043171360485086
912,0,0.15098954018598337,6.375780900860152e-05,0.007984848715448623,1.0,0.1396250246559622,0.16434078645231176,0.024715761796349572
913,0,0.14013644776954176,0.00025941041249763366,0.01610622278802928,1.0,0.12038361558200243,0.16604729170170304,0.04566367611970061
914,1,0.9422887601512381,2.425057628469435e-05,0.0049244874133958704,1.0,0.9328897089547974,0.948660197613286,0.015770488658488624
915,0,0.3286040415980319,0.0001945488110490183,0.01394807553209468,1.0,0.3109965263960788,0.3571599589116273,0.0461634325155485
916,1,0.9905894599546794,4.304086499740946e-06,0.0020746292439231028,1.0,0.9872016877671772,0.9946802920491233,0.007478604281946133
917,0,0.05144348522705342,9.711529693768276e-06,0.0031163327315561597,1.0,0.046701233923446724,0.05730606755554663,0.010604833632099908
918,1,0.9420504124126069,2.6942013590951197e-05,0.005190569678845589,1.0,0.9337847642713536,0.9495245071856026,0.015739742914248955
919,0,0.16920221580212766,0.00013517373715158444,0.011626424091335411,1.0,0.15464258596547967,0.18763312327452927,0.032990537309049606
920,0,0.36219203685602624,3.231817447340836e-05,0.005684907604650085,1.0,0.35299901155292207,0.3735805406309849,0.02058152907806282
921,0,0.0687310816368819,1.3003133454888405e-05,0.003605985781293155,1.0,0.0638918273551856,0.07578338826999358,0.011891560914807975
922,0,0.07436248991259072,1.1291464876542579e-05,0.0033602774999310072,1.0,0.07062112629433571,0.0816533605953282,0.011032234300992483
923,0,0.12264992189911794,4.991597438948674e-05,0.007065123805672958,1.0,0.1105438038868004,0.13145024356677534,0.020906439679974936
924,1,0.7631323010019366,8.989601560004137e-05,0.009481350937500486,1.0,0.7464947878735759,0.7769900140132497,0.030495226139673814
925,0,0.022205250208450808,2.66112811965587e-05,0.005158612332455183,1.0,0.013864402024045326,0.029360255348358344,0.015495853324313018
926,0,0.24156045051034908,0.0001156241272552646,0.010752866001920817,1.0,0.22999807399659233,0.2602858974061346,0.03028782340954228
927,0,0.17459759196798283,8.954048662028314e-05,0.009462583506647809,1.0,0.1615563302339781,0.19710233342250336,0.035546003188525244
928,1,0.6250322441456135,9.13400050380375e-05,0.009557196505149274,1.0,0.6040550424552174,0.6445684889720563,0.04051344651683897
